,cStatoCT,cConteaCT,nSitCT,dateCT,O3meanCT
0,9.0,1.0,9003.0,2008-03-31,0.038
1,9.0,1.0,9003.0,2008-04-01,0.035167
2,9.0,1.0,9003.0,2008-04-02,0.036083
3,9.0,1.0,9003.0,2008-04-03,0.028458
4,9.0,1.0,9003.0,2008-04-04,0.027125
5,9.0,1.0,9003.0,2008-04-05,0.029292
6,9.0,1.0,9003.0,2008-04-06,0.035917
7,9.0,1.0,9003.0,2008-04-07,0.03825
8,9.0,1.0,9003.0,2008-04-08,0.029875
9,9.0,1.0,9003.0,2008-04-09,0.032417
10,9.0,1.0,9003.0,2008-04-10,0.026292
11,9.0,1.0,9003.0,2008-04-11,0.028625
12,9.0,1.0,9003.0,2008-04-12,0.024042
13,9.0,1.0,9003.0,2008-04-13,0.031708
14,9.0,1.0,9003.0,2008-04-14,0.025917
15,9.0,1.0,9003.0,2008-04-15,0.026167
16,9.0,1.0,9003.0,2008-04-16,0.024208
17,9.0,1.0,9003.0,2008-04-17,0.026917
18,9.0,1.0,9003.0,2008-04-18,0.024625
19,9.0,1.0,9003.0,2008-04-19,0.045708
20,9.0,1.0,9003.0,2008-04-20,0.040375
21,9.0,1.0,9003.0,2008-04-21,0.031458
22,9.0,1.0,9003.0,2008-04-22,0.022833
23,9.0,1.0,9003.0,2008-04-23,0.025542
24,9.0,1.0,9003.0,2008-04-24,0.030292
25,9.0,1.0,9003.0,2008-04-25,0.040417
26,9.0,1.0,9003.0,2008-04-26,0.045958
27,9.0,1.0,9003.0,2008-04-27,0.041958
28,9.0,1.0,9003.0,2008-04-28,0.026833
29,9.0,1.0,9003.0,2008-04-29,0.029208
30,9.0,1.0,9003.0,2008-04-30,0.0265
31,9.0,1.0,9003.0,2008-05-01,0.0375
32,9.0,1.0,9003.0,2008-05-02,0.050208
33,9.0,1.0,9003.0,2008-05-03,0.046917
34,9.0,1.0,9003.0,2008-05-04,0.032208
35,9.0,1.0,9003.0,2008-05-05,0.030542
36,9.0,1.0,9003.0,2008-05-06,0.024625
37,9.0,1.0,9003.0,2008-05-07,0.0455
38,9.0,1.0,9003.0,2008-05-08,0.039875
39,9.0,1.0,9003.0,2008-05-09,0.024542
40,9.0,1.0,9003.0,2008-05-10,0.0265
41,9.0,1.0,9003.0,2008-05-11,0.037458
42,9.0,1.0,9003.0,2008-05-12,0.037083
43,9.0,1.0,9003.0,2008-05-13,0.0325
44,9.0,1.0,9003.0,2008-05-14,0.029125
45,9.0,1.0,9003.0,2008-05-15,0.026625
46,9.0,1.0,9003.0,2008-05-16,0.023083
47,9.0,1.0,9003.0,2008-05-17,0.044667
48,9.0,1.0,9003.0,2008-05-18,0.036583
49,9.0,1.0,9003.0,2008-05-19,0.030667
50,9.0,1.0,9003.0,2008-05-20,0.012125
51,9.0,1.0,9003.0,2008-05-21,0.0235
52,9.0,1.0,9003.0,2008-05-22,0.016875
53,9.0,1.0,9003.0,2008-05-23,0.021375
54,9.0,1.0,9003.0,2008-05-24,0.031292
55,9.0,1.0,9003.0,2008-05-25,0.031333
56,9.0,1.0,9003.0,2008-05-26,0.04325
57,9.0,1.0,9003.0,2008-05-27,0.035917
58,9.0,1.0,9003.0,2008-05-28,0.024458
59,9.0,1.0,9003.0,2008-05-29,0.027708
60,9.0,1.0,9003.0,2008-05-30,0.047917
61,9.0,1.0,9003.0,2008-05-31,0.038917
62,9.0,1.0,9003.0,2008-06-01,0.034
63,9.0,1.0,9003.0,2008-06-02,0.023375
64,9.0,1.0,9003.0,2008-06-03,0.047294
65,9.0,1.0,9003.0,2008-06-04,0.035167
66,9.0,1.0,9003.0,2008-06-05,0.038
67,9.0,1.0,9003.0,2008-06-06,0.034042
68,9.0,1.0,9003.0,2008-06-07,0.044
69,9.0,1.0,9003.0,2008-06-08,0.028208
70,9.0,1.0,9003.0,2008-06-09,0.034417
71,9.0,1.0,9003.0,2008-06-10,0.051458
72,9.0,1.0,9003.0,2008-06-11,0.032167
73,9.0,1.0,9003.0,2008-06-12,0.026625
74,9.0,1.0,9003.0,2008-06-13,0.033708
75,9.0,1.0,9003.0,2008-06-14,0.049958
76,9.0,1.0,9003.0,2008-06-15,0.033375
77,9.0,1.0,9003.0,2008-06-16,0.038958
78,9.0,1.0,9003.0,2008-06-17,0.029
79,9.0,1.0,9003.0,2008-06-18,0.018708
80,9.0,1.0,9003.0,2008-06-19,0.029333
81,9.0,1.0,9003.0,2008-06-20,0.031208
82,9.0,1.0,9003.0,2008-06-21,0.043292
83,9.0,1.0,9003.0,2008-06-22,0.037083
84,9.0,1.0,9003.0,2008-06-23,0.034375
85,9.0,1.0,9003.0,2008-06-24,0.027542
86,9.0,1.0,9003.0,2008-06-25,0.030333
87,9.0,1.0,9003.0,2008-06-26,0.021125
88,9.0,1.0,9003.0,2008-06-27,0.016625
89,9.0,1.0,9003.0,2008-06-28,0.043875
90,9.0,1.0,9003.0,2008-06-29,0.0365
91,9.0,1.0,9003.0,2008-06-30,0.042417
92,9.0,1.0,9003.0,2008-07-01,0.041625
93,9.0,1.0,9003.0,2008-07-02,0.031125
94,9.0,1.0,9003.0,2008-07-03,0.044542
95,9.0,1.0,9003.0,2008-07-04,0.039708
96,9.0,1.0,9003.0,2008-07-05,0.036792
97,9.0,1.0,9003.0,2008-07-06,0.0345
98,9.0,1.0,9003.0,2008-07-07,0.031417
99,9.0,1.0,9003.0,2008-07-08,0.044583
100,9.0,1.0,9003.0,2008-07-09,0.043917
101,9.0,1.0,9003.0,2008-07-10,0.024625
102,9.0,1.0,9003.0,2008-07-11,0.029
103,9.0,1.0,9003.0,2008-07-12,0.04075
104,9.0,1.0,9003.0,2008-07-13,0.033
105,9.0,1.0,9003.0,2008-07-14,0.019125
106,9.0,1.0,9003.0,2008-07-15,0.032792
107,9.0,1.0,9003.0,2008-07-16,0.0425
108,9.0,1.0,9003.0,2008-07-17,0.03775
109,9.0,1.0,9003.0,2008-07-18,0.05
110,9.0,1.0,9003.0,2008-07-19,0.051042
111,9.0,1.0,9003.0,2008-07-20,0.031625
112,9.0,1.0,9003.0,2008-07-21,0.038625
113,9.0,1.0,9003.0,2008-07-22,0.0335
114,9.0,1.0,9003.0,2008-07-23,0.037167
115,9.0,1.0,9003.0,2008-07-24,0.036
116,9.0,1.0,9003.0,2008-07-25,0.030708
117,9.0,1.0,9003.0,2008-07-26,0.0485
118,9.0,1.0,9003.0,2008-07-27,0.034708
119,9.0,1.0,9003.0,2008-07-28,0.035625
