,cStatoPen,cConteaPen,nSitPen,datePen,O3meanPen
0,42.0,3.0,10.0,2008-03-31,0.0285
1,42.0,3.0,10.0,2008-04-01,0.032875
2,42.0,3.0,10.0,2008-04-02,0.027833
3,42.0,3.0,10.0,2008-04-03,0.025
4,42.0,3.0,10.0,2008-04-04,0.020417
5,42.0,3.0,10.0,2008-04-05,0.035083
6,42.0,3.0,10.0,2008-04-06,0.0365
7,42.0,3.0,10.0,2008-04-07,0.025667
8,42.0,3.0,10.0,2008-04-08,0.029542
9,42.0,3.0,10.0,2008-04-09,0.028417
10,42.0,3.0,10.0,2008-04-10,0.027042
11,42.0,3.0,10.0,2008-04-11,0.034417
12,42.0,3.0,10.0,2008-04-12,0.034792
13,42.0,3.0,10.0,2008-04-13,0.0285
14,42.0,3.0,10.0,2008-04-14,0.02825
15,42.0,3.0,10.0,2008-04-15,0.020667
16,42.0,3.0,10.0,2008-04-16,0.022083
17,42.0,3.0,10.0,2008-04-17,0.026667
18,42.0,3.0,10.0,2008-04-18,0.027375
19,42.0,3.0,10.0,2008-04-19,0.042583
20,42.0,3.0,10.0,2008-04-20,0.040667
21,42.0,3.0,10.0,2008-04-21,0.031625
22,42.0,3.0,10.0,2008-04-22,0.028792
23,42.0,3.0,10.0,2008-04-23,0.018292
24,42.0,3.0,10.0,2008-04-24,0.022375
25,42.0,3.0,10.0,2008-04-25,0.030792
26,42.0,3.0,10.0,2008-04-26,0.036417
27,42.0,3.0,10.0,2008-04-27,0.036042
28,42.0,3.0,10.0,2008-04-28,0.032542
29,42.0,3.0,10.0,2008-04-29,0.035917
30,42.0,3.0,10.0,2008-04-30,0.029792
31,42.0,3.0,10.0,2008-05-01,0.021542
32,42.0,3.0,10.0,2008-05-02,0.031625
33,42.0,3.0,10.0,2008-05-03,0.033125
34,42.0,3.0,10.0,2008-05-04,0.030792
35,42.0,3.0,10.0,2008-05-05,0.026083
36,42.0,3.0,10.0,2008-05-06,0.027125
37,42.0,3.0,10.0,2008-05-07,0.045042
38,42.0,3.0,10.0,2008-05-08,0.015667
39,42.0,3.0,10.0,2008-05-29,0.021167
40,42.0,3.0,10.0,2008-05-30,0.036417
41,42.0,3.0,10.0,2008-05-31,0.03975
42,42.0,3.0,10.0,2008-06-01,0.04025
43,42.0,3.0,10.0,2008-06-02,0.024917
44,42.0,3.0,10.0,2008-06-03,0.019792
45,42.0,3.0,10.0,2008-06-04,0.0225
46,42.0,3.0,10.0,2008-06-05,0.025208
47,42.0,3.0,10.0,2008-06-06,0.0295
48,42.0,3.0,10.0,2008-06-07,0.030083
49,42.0,3.0,10.0,2008-06-08,0.0335
50,42.0,3.0,10.0,2008-06-09,0.03375
51,42.0,3.0,10.0,2008-06-10,0.0275
52,42.0,3.0,10.0,2008-06-11,0.033833
53,42.0,3.0,10.0,2008-06-12,0.041083
54,42.0,3.0,10.0,2008-06-13,0.041917
55,42.0,3.0,10.0,2008-06-14,0.02175
56,42.0,3.0,10.0,2008-06-15,0.03925
57,42.0,3.0,10.0,2008-06-16,0.037917
58,42.0,3.0,10.0,2008-06-17,0.025625
59,42.0,3.0,10.0,2008-06-18,0.018125
60,42.0,3.0,10.0,2008-06-19,0.018083
61,42.0,3.0,10.0,2008-06-20,0.032083
62,42.0,3.0,10.0,2008-06-21,0.044083
63,42.0,3.0,10.0,2008-06-22,0.042333
64,42.0,3.0,10.0,2008-06-23,0.027583
65,42.0,3.0,10.0,2008-06-24,0.023167
66,42.0,3.0,10.0,2008-06-25,0.043
67,42.0,3.0,10.0,2008-06-26,0.040792
68,42.0,3.0,10.0,2008-06-27,0.030708
69,42.0,3.0,10.0,2008-06-28,0.037625
70,42.0,3.0,10.0,2008-06-29,0.032083
71,42.0,3.0,10.0,2008-06-30,0.021583
72,42.0,3.0,10.0,2008-07-01,0.021208
73,42.0,3.0,10.0,2008-07-02,0.044083
74,42.0,3.0,10.0,2008-07-03,0.035958
75,42.0,3.0,10.0,2008-07-04,0.019083
76,42.0,3.0,10.0,2008-07-05,0.024833
77,42.0,3.0,10.0,2008-07-06,0.017833
78,42.0,3.0,10.0,2008-07-07,0.024292
79,42.0,3.0,10.0,2008-07-08,0.036083
80,42.0,3.0,10.0,2008-07-09,0.028208
81,42.0,3.0,10.0,2008-07-10,0.023542
82,42.0,3.0,10.0,2008-07-11,0.02775
83,42.0,3.0,10.0,2008-07-12,0.041667
84,42.0,3.0,10.0,2008-07-13,0.031625
85,42.0,3.0,10.0,2008-07-14,0.02725
86,42.0,3.0,10.0,2008-07-15,0.024375
87,42.0,3.0,10.0,2008-07-16,0.032
88,42.0,3.0,10.0,2008-07-17,0.034833
89,42.0,3.0,10.0,2008-07-18,0.035833
90,42.0,3.0,10.0,2008-07-19,0.048417
91,42.0,3.0,10.0,2008-07-20,0.038917
92,42.0,3.0,10.0,2008-07-21,0.032375
93,42.0,3.0,10.0,2008-07-22,0.030333
94,42.0,3.0,10.0,2008-07-23,0.0335
95,42.0,3.0,10.0,2008-07-24,0.025458
96,42.0,3.0,10.0,2008-07-25,0.027792
97,42.0,3.0,10.0,2008-07-26,0.038708
98,42.0,3.0,10.0,2008-07-27,0.027833
99,42.0,3.0,10.0,2008-07-28,0.029083
100,42.0,3.0,10.0,2008-07-29,0.034042
101,42.0,3.0,10.0,2008-07-30,0.028417
102,42.0,3.0,10.0,2008-07-31,0.030542
103,42.0,3.0,10.0,2008-08-01,0.036333
104,42.0,3.0,10.0,2008-08-02,0.03425
105,42.0,3.0,10.0,2008-08-03,0.02125
106,42.0,3.0,10.0,2008-08-04,0.027542
107,42.0,3.0,10.0,2008-08-05,0.033875
108,42.0,3.0,10.0,2008-08-06,0.0285
109,42.0,3.0,10.0,2008-08-07,0.02975
110,42.0,3.0,10.0,2008-08-08,0.019375
111,42.0,3.0,10.0,2008-08-09,0.031208
112,42.0,3.0,10.0,2008-08-10,0.025292
113,42.0,3.0,10.0,2008-08-11,0.020167
114,42.0,3.0,10.0,2008-08-12,0.016792
115,42.0,3.0,10.0,2008-08-13,0.020625
116,42.0,3.0,10.0,2008-08-14,0.010083
117,42.0,3.0,10.0,2008-08-25,0.029042
118,42.0,3.0,10.0,2008-08-26,0.027708
119,42.0,3.0,10.0,2008-08-27,0.028917
120,42.0,3.0,10.0,2008-08-28,0.014875
121,42.0,3.0,10.0,2008-08-29,0.024875
122,42.0,3.0,10.0,2008-08-30,0.024208
123,42.0,3.0,10.0,2008-08-31,0.020917
124,42.0,3.0,10.0,2008-09-01,0.026292
125,42.0,3.0,10.0,2008-09-02,0.025042
126,42.0,3.0,10.0,2008-09-03,0.028417
127,42.0,3.0,10.0,2008-09-07,0.020875
128,42.0,3.0,10.0,2008-09-08,0.022375
129,42.0,3.0,10.0,2008-09-09,0.017333
130,42.0,3.0,10.0,2008-09-10,0.018583
131,42.0,3.0,10.0,2008-09-11,0.01825
132,42.0,3.0,10.0,2008-09-12,0.007833
133,42.0,3.0,10.0,2008-09-13,0.012917
134,42.0,3.0,10.0,2008-09-14,0.027833
135,42.0,3.0,10.0,2008-09-15,0.021
136,42.0,3.0,10.0,2008-09-16,0.011792
137,42.0,3.0,10.0,2008-09-17,0.013792
138,42.0,3.0,10.0,2008-09-18,0.015333
139,42.0,3.0,10.0,2008-09-19,0.022708
140,42.0,3.0,10.0,2008-09-20,0.02
141,42.0,3.0,10.0,2008-09-21,0.024125
142,42.0,3.0,10.0,2008-09-22,0.012667
143,42.0,3.0,10.0,2008-09-23,0.014583
144,42.0,3.0,10.0,2008-09-24,0.015833
145,42.0,3.0,10.0,2008-09-25,0.02525
146,42.0,3.0,10.0,2008-09-26,0.018208
147,42.0,3.0,10.0,2008-09-27,0.0115
148,42.0,3.0,10.0,2008-09-28,0.012042
149,42.0,3.0,10.0,2008-09-29,0.02075
150,42.0,3.0,10.0,2008-09-30,0.023542
151,42.0,3.0,10.0,2008-10-01,0.012583
152,42.0,3.0,10.0,2008-10-02,0.01975
153,42.0,3.0,10.0,2008-10-03,0.013458
154,42.0,3.0,10.0,2008-10-04,0.014833
155,42.0,3.0,10.0,2008-10-05,0.012208
156,42.0,3.0,10.0,2008-10-06,0.012042
157,42.0,3.0,10.0,2008-10-07,0.013958
158,42.0,3.0,10.0,2008-10-08,0.010958
159,42.0,3.0,10.0,2008-10-09,0.011417
160,42.0,3.0,10.0,2008-10-10,0.008917
161,42.0,3.0,10.0,2008-10-11,0.011542
162,42.0,3.0,10.0,2008-10-12,0.012083
163,42.0,3.0,10.0,2008-10-13,0.005667
164,42.0,3.0,10.0,2008-10-14,0.013292
165,42.0,3.0,10.0,2008-10-15,0.009083
166,42.0,3.0,10.0,2008-10-16,0.016083
167,42.0,3.0,10.0,2008-10-17,0.010417
168,42.0,3.0,10.0,2008-10-18,0.017667
169,42.0,3.0,10.0,2008-10-19,0.01125
170,42.0,3.0,10.0,2008-10-20,0.012417
171,42.0,3.0,10.0,2008-10-21,0.01875
172,42.0,3.0,10.0,2008-10-22,0.015125
173,42.0,3.0,10.0,2008-10-23,0.01425
174,42.0,3.0,10.0,2008-10-29,0.010364
175,42.0,3.0,10.0,2008-10-30,0.008375
176,42.0,3.0,10.0,2008-10-31,0.015316
177,42.0,7.0,14.0,2008-03-31,0.0225
178,42.0,7.0,14.0,2008-04-01,0.033167
179,42.0,7.0,14.0,2008-04-02,0.032833
180,42.0,7.0,14.0,2008-04-03,0.027875
181,42.0,7.0,14.0,2008-04-04,0.016292
182,42.0,7.0,14.0,2008-04-05,0.031708
183,42.0,7.0,14.0,2008-04-06,0.03775
184,42.0,7.0,14.0,2008-04-07,0.029125
185,42.0,7.0,14.0,2008-04-08,0.034958
186,42.0,7.0,14.0,2008-04-09,0.027458
187,42.0,7.0,14.0,2008-04-10,0.032958
188,42.0,7.0,14.0,2008-04-11,0.021708
189,42.0,7.0,14.0,2008-04-12,0.033625
190,42.0,7.0,14.0,2008-04-13,0.025667
191,42.0,7.0,14.0,2008-04-14,0.024083
192,42.0,7.0,14.0,2008-04-15,0.025833
193,42.0,7.0,14.0,2008-04-16,0.022917
194,42.0,7.0,14.0,2008-04-17,0.027125
195,42.0,7.0,14.0,2008-04-18,0.027375
196,42.0,7.0,14.0,2008-04-19,0.03775
197,42.0,7.0,14.0,2008-04-20,0.034292
198,42.0,7.0,14.0,2008-04-21,0.032125
199,42.0,7.0,14.0,2008-04-22,0.029833
200,42.0,7.0,14.0,2008-04-23,0.023458
201,42.0,7.0,14.0,2008-04-24,0.031875
202,42.0,7.0,14.0,2008-04-25,0.019167
203,42.0,7.0,14.0,2008-04-26,0.027542
204,42.0,7.0,14.0,2008-04-27,0.035042
205,42.0,7.0,14.0,2008-04-28,0.033375
206,42.0,7.0,14.0,2008-04-29,0.037458
207,42.0,7.0,14.0,2008-04-30,0.035333
208,42.0,7.0,14.0,2008-05-01,0.025125
209,42.0,7.0,14.0,2008-05-02,0.02475
210,42.0,7.0,14.0,2008-05-03,0.0275
211,42.0,7.0,14.0,2008-05-04,0.035292
212,42.0,7.0,14.0,2008-05-05,0.031542
213,42.0,7.0,14.0,2008-05-06,0.031708
214,42.0,7.0,14.0,2008-05-07,0.041625
215,42.0,7.0,14.0,2008-05-08,0.019083
216,42.0,7.0,14.0,2008-05-09,0.023333
