,cStatoVA,cConteaVA,nSitVA,dateVA,O3meanVA
0,51.0,59.0,5.0,2008-03-31,0.018
1,51.0,59.0,5.0,2008-04-01,0.030458
2,51.0,59.0,5.0,2008-04-02,0.028958
3,51.0,59.0,5.0,2008-04-03,0.027333
4,51.0,59.0,5.0,2008-04-04,0.0195
5,51.0,59.0,5.0,2008-04-08,0.016071
6,51.0,59.0,5.0,2008-04-09,0.022917
7,51.0,59.0,5.0,2008-04-10,0.029125
8,51.0,59.0,5.0,2008-04-11,0.02925
9,51.0,59.0,5.0,2008-04-12,0.029667
10,51.0,59.0,5.0,2008-04-13,0.027833
11,51.0,59.0,5.0,2008-04-14,0.028875
12,51.0,59.0,5.0,2008-04-15,0.0265
13,51.0,59.0,5.0,2008-04-16,0.023333
14,51.0,59.0,5.0,2008-04-17,0.03525
15,51.0,59.0,5.0,2008-04-18,0.038292
16,51.0,59.0,5.0,2008-04-19,0.050708
17,51.0,59.0,5.0,2008-04-20,0.043042
18,51.0,59.0,5.0,2008-04-21,0.034042
19,51.0,59.0,5.0,2008-04-23,0.027167
20,51.0,59.0,5.0,2008-04-24,0.032083
21,51.0,59.0,5.0,2008-04-25,0.03
22,51.0,59.0,5.0,2008-04-26,0.037417
23,51.0,59.0,5.0,2008-04-27,0.029542
24,51.0,59.0,5.0,2008-04-28,0.02325
25,51.0,59.0,5.0,2008-04-29,0.040583
26,51.0,59.0,5.0,2008-04-30,0.029917
27,51.0,59.0,5.0,2008-05-01,0.024958
28,51.0,59.0,5.0,2008-05-02,0.045125
29,51.0,59.0,5.0,2008-05-03,0.043042
30,51.0,59.0,5.0,2008-05-04,0.032792
31,51.0,59.0,5.0,2008-05-05,0.035083
32,51.0,59.0,5.0,2008-05-06,0.041333
33,51.0,59.0,5.0,2008-05-07,0.054625
34,51.0,59.0,5.0,2008-05-08,0.035625
35,51.0,59.0,5.0,2008-05-10,0.023042
36,51.0,59.0,5.0,2008-05-11,0.030292
37,51.0,59.0,5.0,2008-05-12,0.033958
38,51.0,59.0,5.0,2008-05-13,0.026417
39,51.0,59.0,5.0,2008-05-14,0.034792
40,51.0,59.0,5.0,2008-05-15,0.036375
41,51.0,59.0,5.0,2008-05-16,0.037292
42,51.0,59.0,5.0,2008-05-17,0.048125
43,51.0,59.0,5.0,2008-05-18,0.035292
44,51.0,59.0,5.0,2008-05-19,0.030167
45,51.0,59.0,5.0,2008-05-20,0.023583
46,51.0,59.0,5.0,2008-05-21,0.028
47,51.0,59.0,5.0,2008-05-22,0.029917
48,51.0,59.0,5.0,2008-05-23,0.028042
49,51.0,59.0,5.0,2008-05-24,0.033958
50,51.0,59.0,5.0,2008-05-25,0.037375
51,51.0,59.0,5.0,2008-05-26,0.046792
52,51.0,59.0,5.0,2008-05-27,0.028909
53,51.0,59.0,5.0,2008-05-28,0.029958
54,51.0,59.0,5.0,2008-05-29,0.035583
55,51.0,59.0,5.0,2008-05-30,0.048083
56,51.0,59.0,5.0,2008-05-31,0.0275
57,51.0,59.0,5.0,2008-06-01,0.042792
58,51.0,59.0,5.0,2008-06-02,0.033792
59,51.0,59.0,5.0,2008-06-03,0.042708
60,51.0,59.0,5.0,2008-06-04,0.030833
61,51.0,59.0,5.0,2008-06-05,0.046167
62,51.0,59.0,5.0,2008-06-06,0.034333
63,51.0,59.0,5.0,2008-06-07,0.028167
64,51.0,59.0,5.0,2008-06-08,0.0195
65,51.0,59.0,5.0,2008-06-09,0.024417
66,51.0,59.0,5.0,2008-06-10,0.037958
67,51.0,59.0,5.0,2008-06-11,0.03925
68,51.0,59.0,5.0,2008-06-12,0.051
69,51.0,59.0,5.0,2008-06-13,0.057042
70,51.0,59.0,5.0,2008-06-14,0.037125
71,51.0,59.0,5.0,2008-06-15,0.031125
72,51.0,59.0,5.0,2008-06-16,0.027375
73,51.0,59.0,5.0,2008-06-17,0.030333
74,51.0,59.0,5.0,2008-06-18,0.02825
75,51.0,59.0,5.0,2008-06-19,0.02525
76,51.0,59.0,5.0,2008-06-20,0.031167
77,51.0,59.0,5.0,2008-06-21,0.047208
78,51.0,59.0,5.0,2008-06-22,0.043333
79,51.0,59.0,5.0,2008-06-23,0.0355
80,51.0,59.0,5.0,2008-06-24,0.0295
81,51.0,59.0,5.0,2008-06-25,0.031542
82,51.0,59.0,5.0,2008-06-26,0.035833
83,51.0,59.0,5.0,2008-06-27,0.027333
84,51.0,59.0,5.0,2008-06-28,0.028125
85,51.0,59.0,5.0,2008-06-29,0.032958
86,51.0,59.0,5.0,2008-06-30,0.02675
87,51.0,59.0,5.0,2008-07-01,0.022958
88,51.0,59.0,5.0,2008-07-02,0.034208
89,51.0,59.0,5.0,2008-07-03,0.046625
90,51.0,59.0,5.0,2008-07-04,0.032417
91,51.0,59.0,5.0,2008-07-05,0.031708
92,51.0,59.0,5.0,2008-07-06,0.031208
93,51.0,59.0,5.0,2008-07-07,0.034583
94,51.0,59.0,5.0,2008-07-08,0.043292
95,51.0,59.0,5.0,2008-07-09,0.025042
96,51.0,59.0,5.0,2008-07-10,0.0365
97,51.0,59.0,5.0,2008-07-11,0.035042
98,51.0,59.0,5.0,2008-07-12,0.05425
99,51.0,59.0,5.0,2008-07-13,0.040792
100,51.0,59.0,5.0,2008-07-14,0.026458
101,51.0,59.0,5.0,2008-07-15,0.033333
102,51.0,59.0,5.0,2008-07-16,0.041167
103,51.0,59.0,5.0,2008-07-17,0.040625
104,51.0,59.0,5.0,2008-07-18,0.039875
105,51.0,59.0,5.0,2008-07-19,0.033458
106,51.0,59.0,5.0,2008-07-20,0.037833
107,51.0,59.0,5.0,2008-07-21,0.035125
108,51.0,59.0,5.0,2008-07-22,0.036458
109,51.0,59.0,5.0,2008-07-23,0.031833
110,51.0,59.0,5.0,2008-07-24,0.024458
111,51.0,59.0,5.0,2008-07-25,0.03525
112,51.0,59.0,5.0,2008-07-26,0.044292
113,51.0,59.0,5.0,2008-07-27,0.0315
114,51.0,59.0,5.0,2008-07-28,0.031708
115,51.0,59.0,5.0,2008-07-29,0.042458
116,51.0,59.0,5.0,2008-07-30,0.032708
117,51.0,59.0,5.0,2008-07-31,0.021458
118,51.0,59.0,5.0,2008-08-01,0.037167
119,51.0,59.0,5.0,2008-08-02,0.03275
120,51.0,59.0,5.0,2008-08-03,0.028125
121,51.0,59.0,5.0,2008-08-04,0.028458
122,51.0,59.0,5.0,2008-08-05,0.022292
